Title,Abstract,PMID,PMCID,DOI,Cited Number,journal_title,Journal_id,impact_factor
Deep learning based feature-level integration of multi-omics data for breast cancer patients survival analysis,"Background:Breast cancer is the most prevalent and among the most deadly cancers in females. Patients with breast cancer have highly variable survival lengths, indicating a need to identify prognostic biomarkers for personalized diagnosis and treatment. With the development of new technologies such as next-generation sequencing, multi-omics information are becoming available for a more thorough evaluation of a patient's condition. In this study, we aim to improve breast cancer overall survival prediction by integrating multi-omics data (e.g., gene expression, DNA methylation, miRNA expression, and copy number variations (CNVs)).Methods:Motivated by multi-view learning, we propose a novel strategy to integrate multi-omics data for breast cancer survival prediction by applying complementary and consensus principles. The complementary principle assumes each -omics data contains modality-unique information. To preserve such information, we develop a concatenation autoencoder (ConcatAE) that concatenates the hidden features learned from each modality for integration. The consensus principle assumes that the disagreements among modalities upper bound the model errors. To get rid of the noises or discrepancies among modalities, we develop a cross-modality autoencoder (CrossAE) to maximize the agreement among modalities to achieve a modality-invariant representation. We first validate the effectiveness of our proposed models on the MNIST simulated data. We then apply these models to the TCCA breast cancer multi-omics data for overall survival prediction.Results:For breast cancer overall survival prediction, the integration of DNA methylation and miRNA expression achieves the best overall performance of 0.641 ± 0.031 with ConcatAE, and 0.63 ± 0.081 with CrossAE. Both strategies outperform baseline single-modality models using only DNA methylation (0.583 ± 0.058) or miRNA expression (0.616 ± 0.057).Conclusions:In conclusion, we achieve improved overall survival prediction performance by utilizing either the complementary or consensus information among multi-omics data. The proposed ConcatAE and CrossAE models can inspire future deep representation-based multi-omics integration techniques. We believe these novel multi-omics integration models can benefit the personalized diagnosis and treatment of breast cancer patients.",32933515,PMC7493161,10.1186/s12911-020-01225-8,26,BMC medical informatics and decision making,101088682,3.298
Multi-omics Data Integration in the Context of Plant Abiotic Stress Signaling,"In order to answer new biological questions, high-throughput data generated by new biotechnologies can be very meaningful but require specific and adapted statistical treatments. Thus, in the context of abiotic stress signaling studies, understanding the integration of cascading mechanisms from stress perception to biochemical and physiological adjustments necessarily entails efficient and valid analysis of multilevel and heterogeneous data. In this chapter, we propose examples to manage, analyze, and integrate multi-omics heterogeneous data. This workflow suggests and follows different general biological questions or issues answered with detailed code, data analysis, multiple visualizations, and always followed by brief interpretations. We illustrated this using the mixOmics package for the R software, as it specifically provides tools to address vertical and horizontal data integration issues. In order to illustrate this workflow, we used the usual omics datasets biologists can generate (phenomics, metabolomics, proteomics, and transcriptomics). These data were collected from two organs (leaf rosettes, floral stems) of five ecotypes of the model plant Arabidopsis thaliana exposed to two temperature growth conditions. They are available in the R package WallOmicsData. The workflow presented here is not limited to Arabidopsis thaliana and can be applied to any plant species. It can even be largely deployed to whatever the organisms of interest and the biological questions may be.",36944885,,10.1007/978-1-0716-3044-0_16,4,"Methods in molecular biology (Clifton, N.J.)",9214969,0.0
A multi-omics dataset for the analysis of frontotemporal dementia genetic subtypes,"Understanding the molecular mechanisms underlying frontotemporal dementia (FTD) is essential for the development of successful therapies. Systematic studies on human post-mortem brain tissue of patients with genetic subtypes of FTD are currently lacking. The Risk and Modyfing Factors of Frontotemporal Dementia (RiMod-FTD) consortium therefore has generated a multi-omics dataset for genetic subtypes of FTD to identify common and distinct molecular mechanisms disturbed in disease. Here, we present multi-omics datasets generated from the frontal lobe of post-mortem human brain tissue from patients with mutations in MAPT, GRN and C9orf72 and healthy controls. This data resource consists of four datasets generated with different technologies to capture the transcriptome by RNA-seq, small RNA-seq, CAGE-seq, and methylation profiling. We show concrete examples on how to use the resulting data and confirm current knowledge about FTD and identify new processes for further investigation. This extensive multi-omics dataset holds great value to reveal new research avenues for this devastating disease.",38040703,PMC10692098,10.1038/s41597-023-02598-x,0,Scientific data,101640192,8.501
Multi-omics integration in the age of million single-cell data,"An explosion in single-cell technologies has revealed a previously underappreciated heterogeneity of cell types and novel cell-state associations with sex, disease, development and other processes. Starting with transcriptome analyses, single-cell techniques have extended to multi-omics approaches and now enable the simultaneous measurement of data modalities and spatial cellular context. Data are now available for millions of cells, for whole-genome measurements and for multiple modalities. Although analyses of such multimodal datasets have the potential to provide new insights into biological processes that cannot be inferred with a single mode of assay, the integration of very large, complex, multimodal data into biological models and mechanisms represents a considerable challenge. An understanding of the principles of data integration and visualization methods is required to determine what methods are best applied to a particular single-cell dataset. Each class of method has advantages and pitfalls in terms of its ability to achieve various biological goals, including cell-type classification, regulatory network modelling and biological process inference. In choosing a data integration strategy, consideration must be given to whether the multi-omics data are matched (that is, measured on the same cell) or unmatched (that is, measured on different cells) and, more importantly, the overall modelling and visualization goals of the integrated analysis.",34417589,PMC9191639,10.1038/s41581-021-00463-x,56,Nature reviews. Nephrology,101500081,42.439
Multi-omics analyses of glucose metabolic reprogramming in colorectal cancer,"Background:Glucose metabolic reprogramming (GMR) is a cardinal feature of carcinogenesis and metastasis. However, the underlying mechanisms have not been fully elucidated. The aim of this study was to profile the metabolic signature of primary tumor and circulating tumor cells from metastatic colorectal cancer (mCRC) patients using integrated omics analysis.Methods:PET-CT imaging, serum metabolomics, genomics and proteomics data of 325 high 18F-fluorinated deoxyglucose (FDGhigh) mCRC patients were analyzed. The para-tumor, primary tumor and liver metastatic tissues of mCRC patients were used for proteomics analysis.Results:The glucose uptake in tumor tissues as per the PET/CT images was correlated to serum levels of glutamic-pyruvic transaminase (ALT), total bilirubin (TBIL), creatinine (CRE). Proteomics analysis indicated that several differentially expressed proteins were enriched in both GMR and epithelial-mesenchymal transition (EMT)-related pathways. Using a tissue-optimized proteomic workflow, we identified novel proteomic markers (e.g. CCND1, EPCAM, RPS6), a novel PCK1-CDK6-INSR protein axis, and a potential role for FOLR (FR) in GMR/EMT of CRC cells. Finally, CEA/blood glucose (CSR) was defined as a new index, which can be used to jointly diagnose liver metastasis of colorectal cancer.Conclusions:GMR in CRC cells is closely associated with the EMT pathway, and this network is a promising source of potential therapeutic targets.",37475862,PMC10354426,10.3389/fimmu.2023.1179699,0,Frontiers in immunology,101560960,8.786
Integrated multi-omics analysis of Alzheimer's disease shows molecular signatures associated with disease progression and potential therapeutic targets,"Alzheimer's disease (AD) is a progressive neurodegenerative disease characterized by the formation of amyloid plaques implicated in neuronal death. Genetics, age, and sex are the risk factors attributed to AD. Though omics studies have helped to identify pathways associated with AD, an integrated systems analysis with the available data could help to understand mechanisms, potential biomarkers, and therapeutic targets. Analysis of transcriptomic data sets from the GEO database, and proteomic and metabolomic data sets from literature was performed to identify deregulated pathways and commonality analysis identified overlapping pathways among the data sets. The deregulated pathways included those of neurotransmitter synapses, oxidative stress, inflammation, vitamins, complement, and coagulation pathways. Cell type analysis of GEO data sets showed microglia, endothelial, myeloid, and lymphoid cells are affected. Microglia are associated with inflammation and pruning of synapses with implications for memory and cognition. Analysis of the protein-cofactor network of B2, B6,and pantothenate shows metabolic pathways modulated by these vitamins which overlap with the deregulated pathways from the multi-omics analysis. Overall, the integrated analysis identified the molecular signature associated with AD. Treatment with anti-oxidants, B2, B6, and pantothenate in genetically susceptible individuals in the pre-symptomatic stage might help in better management of the disease.",36879094,PMC9986671,10.1038/s41598-023-30892-6,8,Scientific reports,101563288,4.996
Clustering of single-cell multi-omics data with a multimodal deep learning method,"Single-cell multimodal sequencing technologies are developed to simultaneously profile different modalities of data in the same cell. It provides a unique opportunity to jointly analyze multimodal data at the single-cell level for the identification of distinct cell types. A correct clustering result is essential for the downstream complex biological functional studies. However, combining different data sources for clustering analysis of single-cell multimodal data remains a statistical and computational challenge. Here, we develop a novel multimodal deep learning method, scMDC, for single-cell multi-omics data clustering analysis. scMDC is an end-to-end deep model that explicitly characterizes different data sources and jointly learns latent features of deep embedding for clustering analysis. Extensive simulation and real-data experiments reveal that scMDC outperforms existing single-cell single-modal and multimodal clustering methods on different single-cell multimodal datasets. The linear scalability of running time makes scMDC a promising method for analyzing large multimodal datasets.",36513636,PMC9748135,10.1038/s41467-022-35031-9,11,Nature communications,101528555,17.694
MOMA: a multi-task attention learning algorithm for multi-omics data interpretation and classification,"Motivation:Accurate diagnostic classification and biological interpretation are important in biology and medicine, which are data-rich sciences. Thus, integration of different data types is necessary for the high predictive accuracy of clinical phenotypes, and more comprehensive analyses for predicting the prognosis of complex diseases are required.Results:Here, we propose a novel multi-task attention learning algorithm for multi-omics data, termed MOMA, which captures important biological processes for high diagnostic performance and interpretability. MOMA vectorizes features and modules using a geometric approach and focuses on important modules in multi-omics data via an attention mechanism. Experiments using public data on Alzheimer's disease and cancer with various classification tasks demonstrated the superior performance of this approach. The utility of MOMA was also verified using a comparison experiment with an attention mechanism that was turned on or off and biological analysis.Availability and implementation:The source codes are available at https://github.com/dmcb-gist/MOMA.Supplementary information:Supplementary materials are available at Bioinformatics online.",35157023,PMC10060719,10.1093/bioinformatics/btac080,10,"Bioinformatics (Oxford, England)",9808944,6.931
Bayesian linear mixed model with multiple random effects for prediction analysis on high-dimensional multi-omics data,"Motivation:Accurate disease risk prediction is an essential step in the modern quest for precision medicine. While high-dimensional multi-omics data have provided unprecedented data resources for prediction studies, their high-dimensionality and complex inter/intra-relationships have posed significant analytical challenges.Results:We proposed a two-step Bayesian linear mixed model framework (TBLMM) for risk prediction analysis on multi-omics data. TBLMM models the predictive effects from multi-omics data using a hybrid of the sparsity regression and linear mixed model with multiple random effects. It can resemble the shape of the true effect size distributions and accounts for non-linear, including interaction effects, among multi-omics data via kernel fusion. It infers its parameters via a computationally efficient variational Bayes algorithm. Through extensive simulation studies and the prediction analyses on the positron emission tomography imaging outcomes using data obtained from the Alzheimer's Disease Neuroimaging Initiative, we have demonstrated that TBLMM can consistently outperform the existing method in predicting the risk of complex traits.Availability and implementation:The corresponding R package is available on GitHub (https://github.com/YaluWen/TBLMM).",37882747,PMC10627352,10.1093/bioinformatics/btad647,0,"Bioinformatics (Oxford, England)",9808944,6.931
Evaluation and comparison of multi-omics data integration methods for cancer subtyping,"Computational integrative analysis has become a significant approach in the data-driven exploration of biological problems. Many integration methods for cancer subtyping have been proposed, but evaluating these methods has become a complicated problem due to the lack of gold standards. Moreover, questions of practical importance remain to be addressed regarding the impact of selecting appropriate data types and combinations on the performance of integrative studies. Here, we constructed three classes of benchmarking datasets of nine cancers in TCGA by considering all the eleven combinations of four multi-omics data types. Using these datasets, we conducted a comprehensive evaluation of ten representative integration methods for cancer subtyping in terms of accuracy measured by combining both clustering accuracy and clinical significance, robustness, and computational efficiency. We subsequently investigated the influence of different omics data on cancer subtyping and the effectiveness of their combinations. Refuting the widely held intuition that incorporating more types of omics data always produces better results, our analyses showed that there are situations where integrating more omics data negatively impacts the performance of integration methods. Our analyses also suggested several effective combinations for most cancers under our studies, which may be of particular interest to researchers in omics data analysis.",34383739,PMC8384175,10.1371/journal.pcbi.1009224,24,PLoS computational biology,101238922,4.779
Scbean: a python library for single-cell multi-omics data analysis,"Summary:Single-cell multi-omics technologies provide a unique platform for characterizing cell states and reconstructing developmental process by simultaneously quantifying and integrating molecular signatures across various modalities, including genome, transcriptome, epigenome, and other omics layers. However, there is still an urgent unmet need for novel computational tools in this nascent field, which are critical for both effective and efficient interrogation of functionality across different omics modalities. Scbean represents a user-friendly Python library, designed to seamlessly incorporate a diverse array of models for the examination of single-cell data, encompassing both paired and unpaired multi-omics data. The library offers uniform and straightforward interfaces for tasks, such as dimensionality reduction, batch effect elimination, cell label transfer from well-annotated scRNA-seq data to scATAC-seq data, and the identification of spatially variable genes. Moreover, Scbean's models are engineered to harness the computational power of GPU acceleration through Tensorflow, rendering them capable of effortlessly handling datasets comprising millions of cells.Availability and implementation:Scbean is released on the Python Package Index (PyPI) (https://pypi.org/project/scbean/) and GitHub (https://github.com/jhu99/scbean) under the MIT license. The documentation and example code can be found at https://scbean.readthedocs.io/en/latest/.",38290765,PMC10868338,10.1093/bioinformatics/btae053,1,"Bioinformatics (Oxford, England)",9808944,6.931
A powerful framework for an integrative study with heterogeneous omics data: from univariate statistics to multi-block analysis,"High-throughput data generated by new biotechnologies require specific and adapted statistical treatment in order to be efficiently used in biological studies. In this article, we propose a powerful framework to manage and analyse multi-omics heterogeneous data to carry out an integrative analysis. We have illustrated this using the mixOmics package for R software as it specifically addresses data integration issues. Our work also aims at applying the most recent functionalities of mixOmics to real datasets. Although multi-block integrative methodologies exist, we hope to encourage a more widespread use of such approaches in an operational framework by biologists. We have used natural populations of the model plant Arabidopsis thaliana in this work, but the framework proposed is not limited to this plant and can be deployed whatever the organisms of interest and the biological question may be. Four omics datasets (phenomics, metabolomics, cell wall proteomics and transcriptomics) were collected, analysed and integrated to study the cell wall plasticity of plants exposed to sub-optimal temperature growth conditions. The methodologies presented here start from basic univariate statistics leading to multi-block integration analysis. We have also highlighted the fact that each method, either unsupervised or supervised, is associated with one biological issue. Using this powerful framework enabled us to arrive at novel conclusions on the biological system, which would not have been possible using standard statistical approaches.",32778869,,10.1093/bib/bbaa166,8,Briefings in bioinformatics,100912837,13.994
Multi-Omics Analysis of NCI-60 Cell Line Data Reveals Novel Metabolic Processes Linked with Resistance to Alkylating Anti-Cancer Agents,"This study aimed to elucidate the molecular determinants influencing the response of cancer cells to alkylating agents, a major class of chemotherapeutic drugs used in cancer treatment. The study utilized data from the National Cancer Institute (NCI)-60 cell line screening program and employed a comprehensive multi-omics approach integrating transcriptomic, proteomic, metabolomic, and SNP data. Through integrated pathway analysis, the study identified key metabolic pathways, such as cysteine and methionine metabolism, starch and sucrose metabolism, pyrimidine metabolism, and purine metabolism, that differentiate drug-sensitive and drug-resistant cancer cells. The analysis also revealed potential druggable targets within these pathways. Furthermore, copy number variant (CNV) analysis, derived from SNP data, between sensitive and resistant cells identified notable differences in genes associated with metabolic changes (WWOX, CNTN5, DDAH1, PGR), protein trafficking (ARL17B, VAT1L), and miRNAs (MIR1302-2, MIR3163, MIR1244-3, MIR1302-9). The findings of this study provide a holistic view of the molecular landscape and dysregulated pathways underlying the response of cancer cells to alkylating agents. The insights gained from this research can contribute to the development of more effective therapeutic strategies and personalized treatment approaches, ultimately improving patient outcomes in cancer treatment.",37686047,PMC10487847,10.3390/ijms241713242,1,International journal of molecular sciences,101092791,6.208
Integrating multi-omics data through deep learning for accurate cancer prognosis prediction,"Background:Genomic information is nowadays widely used for precise cancer treatments. Since the individual type of omics data only represents a single view that suffers from data noise and bias, multiple types of omics data are required for accurate cancer prognosis prediction. However, it is challenging to effectively integrate multi-omics data due to the large number of redundant variables but relatively small sample size. With the recent progress in deep learning techniques, Autoencoder was used to integrate multi-omics data for extracting representative features. Nevertheless, the generated model is fragile from data noises. Additionally, previous studies usually focused on individual cancer types without making comprehensive tests on pan-cancer. Here, we employed the denoising Autoencoder to get a robust representation of the multi-omics data, and then used the learned representative features to estimate patients' risks.Results:By applying to 15 cancers from The Cancer Genome Atlas (TCGA), our method was shown to improve the C-index values over previous methods by 6.5% on average. Considering the difficulty to obtain multi-omics data in practice, we further used only mRNA data to fit the estimated risks by training XGboost models, and found the models could achieve an average C-index value of 0.627. As a case study, the breast cancer prognosis prediction model was independently tested on three datasets from the Gene Expression Omnibus (GEO), and shown able to significantly separate high-risk patients from low-risk ones (C-index>0.6, p-values<0.05). Based on the risk subgroups divided by our method, we identified nine prognostic markers highly associated with breast cancer, among which seven genes have been proved by literature review.Conclusion:Our comprehensive tests indicated that we have constructed an accurate and robust framework to integrate multi-omics data for cancer prognosis prediction. Moreover, it is an effective way to discover cancer prognosis-related genes.",33989895,,10.1016/j.compbiomed.2021.104481,31,Computers in biology and medicine,1250250,6.698
IgE-Mediated Peanut Allergy: Current and Novel Predictive Biomarkers for Clinical Phenotypes Using Multi-Omics Approaches,"Food allergy is a collective term for several immune-mediated responses to food. IgE-mediated food allergy is the best-known subtype. The patients present with a marked diversity of clinical profiles including symptomatic manifestations, threshold reactivity and reaction kinetics. In-vitro predictors of these clinical phenotypes are evasive and considered as knowledge gaps in food allergy diagnosis and risk management. Peanut allergy is a relevant disease model where pioneer discoveries were made in diagnosis, immunotherapy and prevention. This review provides an overview on the immune basis for phenotype variations in peanut-allergic individuals, in the light of future patient stratification along emerging omic-areas. Beyond specific IgE-signatures and basophil reactivity profiles with established correlation to clinical outcome, allergenomics, mass spectrometric resolution of peripheral allergen tracing, might be a fundamental approach to understand disease pathophysiology underlying biomarker discovery. Deep immune phenotyping is thought to reveal differential cell responses but also, gene expression and gene methylation profiles (eg, peanut severity genes) are promising areas for biomarker research. Finally, the study of microbiome-host interactions with a focus on the immune system modulation might hold the key to understand tissue-specific responses and symptoms. The immune mechanism underlying acute food-allergic events remains elusive until today. Deciphering this immunological response shall enable to identify novel biomarker for stratification of patients into reaction endotypes. The availability of powerful multi-omics technologies, together with integrated data analysis, network-based approaches and unbiased machine learning holds out the prospect of providing clinically useful biomarkers or biomarker signatures being predictive for reaction phenotypes.",33584660,PMC7876438,10.3389/fimmu.2020.594350,7,Frontiers in immunology,101560960,8.786
Multi-omics annotation of human long non-coding RNAs,"LncRNAs (long non-coding RNAs) are pervasively transcribed in the human genome and also extensively involved in a variety of essential biological processes and human diseases. The comprehensive annotation of human lncRNAs is of great significance in navigating the functional landscape of the human genome and deepening the understanding of the multi-featured RNA world. However, the unique characteristics of lncRNAs as well as their enormous quantity have complicated and challenged the annotation of lncRNAs. Advances in high-throughput sequencing technologies give rise to a large volume of omics data that are generated at an unprecedented rate and scale, providing possibilities in the identification, characterization and functional annotation of lncRNAs. Here, we review the recent important discoveries of human lncRNAs through analysis of various omics data and summarize specialized lncRNA database resources. Moreover, we highlight the multi-omics integrative analysis as a powerful strategy to efficiently discover and characterize the functional lncRNAs and elucidate their potential molecular mechanisms.",32756901,,10.1042/BST20191063,4,Biochemical Society transactions,7506897,4.919
Nano-omics: nanotechnology-based multidimensional harvesting of the blood-circulating cancerome,"Over the past decade, the development of 'simple' blood tests that enable cancer screening, diagnosis or monitoring and facilitate the design of personalized therapies without the need for invasive tumour biopsy sampling has been a core ambition in cancer research. Data emerging from ongoing biomarker development efforts indicate that multiple markers, used individually or as part of a multimodal panel, are required to enhance the sensitivity and specificity of assays for early stage cancer detection. The discovery of cancer-associated molecular alterations that are reflected in blood at multiple dimensions (genome, epigenome, transcriptome, proteome and metabolome) and integration of the resultant multi-omics data have the potential to uncover novel biomarkers as well as to further elucidate the underlying molecular pathways. Herein, we review key advances in multi-omics liquid biopsy approaches and introduce the 'nano-omics' paradigm: the development and utilization of nanotechnology tools for the enrichment and subsequent omics analysis of the blood-circulating cancerome.",35739399,,10.1038/s41571-022-00645-x,8,Nature reviews. Clinical oncology,101500077,65.011
MOBCdb: a comprehensive database integrating multi-omics data on breast cancer for precision medicine,"Background:Breast cancer is one of the most frequently diagnosed cancers among women worldwide, characterized by diverse biological heterogeneity. It is well known that complex and combined gene regulation of multi-omics is involved in the occurrence and development of breast cancer.Results:In this paper, we present the Multi-Omics Breast Cancer Database (MOBCdb), a simple and easily accessible repository that integrates genomic, transcriptomic, epigenomic, clinical, and drug response data of different subtypes of breast cancer. MOBCdb allows users to retrieve simple nucleotide variation (SNV), gene expression, microRNA expression, DNA methylation, and specific drug response data by various search fashions. The genome-wide browser /navigation facility in MOBCdb provides an interface for visualizing multi-omics data of multi-samples simultaneously. Furthermore, the survival module provides survival analysis for all or some of the samples by using data of three omics. The approved public drugs with genetic variations on breast cancer are also included in MOBCdb.Conclusion:In summary, MOBCdb provides users a unique web interface to the integrated multi-omics data of different subtypes of breast cancer, which enables the users to identify potential novel biomarkers for precision medicine.",29429018,,10.1007/s10549-018-4708-z,13,Breast cancer research and treatment,8111104,4.624
DRAMS: A tool to detect and re-align mixed-up samples for integrative studies of multi-omics data,"Studies of complex disorders benefit from integrative analyses of multiple omics data. Yet, sample mix-ups frequently occur in multi-omics studies, weakening statistical power and risking false findings. Accurately aligning sample information, genotype, and corresponding omics data is critical for integrative analyses. We developed DRAMS (https://github.com/Yi-Jiang/DRAMS) to Detect and Re-Align Mixed-up Samples to address the sample mix-up problem. It uses a logistic regression model followed by a modified topological sorting algorithm to identify the potential true IDs based on data relationships of multi-omics. According to tests using simulated data, the more types of omics data used or the smaller the proportion of mix-ups, the better that DRAMS performs. Applying DRAMS to real data from the PsychENCODE BrainGVEX project, we detected and corrected 201 (12.5% of total data generated) mix-ups. Of the 21 mix-ups involving errors of racial identity, DRAMS re-assigned all data to the correct racial group in the 1000 Genomes project. In doing so, quantitative trait loci (QTL) (FDR<0.01) increased by an average of 1.62-fold. The use of DRAMS in multi-omics studies will strengthen statistical power of the study and improve quality of the results. Even though very limited studies have multi-omics data in place, we expect such data will increase quickly with the needs of DRAMS.",32282793,PMC7179940,10.1371/journal.pcbi.1007522,4,PLoS computational biology,101238922,4.779
Machine learning for image-based multi-omics analysis of leaf veins,"Veins are a critical component of the plant growth and development system, playing an integral role in supporting and protecting leaves, as well as transporting water, nutrients, and photosynthetic products. A comprehensive understanding of the form and function of veins requires a dual approach that combines plant physiology with cutting-edge image recognition technology. The latest advancements in computer vision and machine learning have facilitated the creation of algorithms that can identify vein networks and explore their developmental progression. Here, we review the functional, environmental, and genetic factors associated with vein networks, along with the current status of research on image analysis. In addition, we discuss the methods of venous phenotype extraction and multi-omics association analysis using machine learning technology, which could provide a theoretical basis for improving crop productivity by optimizing the vein network architecture.",37410807,,10.1093/jxb/erad251,0,Journal of experimental botany,9882906,7.298
Integration of Meta-Multi-Omics Data Using Probabilistic Graphs and External Knowledge,"Multi-omics has the promise to provide a detailed molecular picture of biological systems. Although obtaining multi-omics data is relatively easy, methods that analyze such data have been lagging. In this paper, we present an algorithm that uses probabilistic graph representations and external knowledge to perform optimal structure learning and deduce a multifarious interaction network for multi-omics data from a bacterial community. Kefir grain, a microbial community that ferments milk and creates kefir, represents a self-renewing, stable, natural microbial community. Kefir has been shown to have a wide range of health benefits. We obtained a controlled bacterial community using the two most abundant and well-studied species in kefir grains:Lentilactobacillus kefiriandLactobacillus kefiranofaciens. We applied growth temperatures of 30 °C and 37 °C and obtained transcriptomic, metabolomic, and proteomic data for the same 20 samples (10 samples per temperature). We obtained a multi-omics interaction network, which generated insights that would not have been possible with single-omics analysis. We identified interactions among transcripts, proteins, and metabolites, suggesting active toxin/antitoxin systems. We also observed multifarious interactions that involved the shikimate pathway. These observations helped explain bacterial adaptation to different stress conditions, co-aggregation, and increased activation ofL. kefiranofaciensat 37 °C.",37566077,PMC10417344,10.3390/cells12151998,0,Cells,101600052,7.666
MOGONET integrates multi-omics data using graph convolutional networks allowing patient classification and biomarker identification,"To fully utilize the advances in omics technologies and achieve a more comprehensive understanding of human diseases, novel computational methods are required for integrative analysis of multiple types of omics data. Here, we present a novel multi-omics integrative method named Multi-Omics Graph cOnvolutional NETworks (MOGONET) for biomedical classification. MOGONET jointly explores omics-specific learning and cross-omics correlation learning for effective multi-omics data classification. We demonstrate that MOGONET outperforms other state-of-the-art supervised multi-omics integrative analysis approaches from different biomedical classification applications using mRNA expression data, DNA methylation data, and microRNA expression data. Furthermore, MOGONET can identify important biomarkers from different omics data types related to the investigated biomedical problems.",34103512,PMC8187432,10.1038/s41467-021-23774-w,86,Nature communications,101528555,17.694
Agroecosystem engineering extended from plant-microbe interactions revealed by multi-omics data,"In an agroecosystem, plants and microbes coexist and interact with environmental factors such as climate, soil, and pests. However, agricultural practices that depend on chemical fertilizers, pesticides, and frequent tillage often disrupt the beneficial interactions in the agroecosystem. To reconcile the improvement of crop performance and reduction in environmental impacts in agriculture, we need to understand the functions of the complex interactions and develop an agricultural system that can maximize the potential benefits of the agroecosystem. Therefore, we are developing a system called the agroecosystem engineering system, which aims to optimize the interactions between crops, microbes, and environmental factors, using multi-omics analysis. This review first summarizes the progress and examples of omics approaches, including multi-omics analysis, to reveal complex interactions in the agroecosystem. The latter half of this review discusses the prospects of data analysis approaches in the agroecosystem engineering system, including causal network analysis and predictive modeling.",36416843,,10.1093/bbb/zbac191,2,"Bioscience, biotechnology, and biochemistry",9205717,2.337
ExpressVis: a biologist-oriented interactive web server for exploring multi-omics data,"In the era of life-omics, huge amounts of multi-omics data have been generated and widely used in biomedical research. It is challenging for biologists with limited programming skills to obtain biological insights from multi-omics data. Thus, a biologist-oriented platform containing visualization functions is needed to make complex omics data digestible. Here, we propose an easy-to-use, interactive web server named ExpressVis. In ExpressVis, users can prepare datasets; perform differential expression analysis, clustering analysis, and survival analysis; and integrate expression data with protein-protein interaction networks and pathway maps. These analyses are organized into six modules. Users can use each module independently or use several modules interactively. ExpressVis displays analysis results in interactive figures and tables, and provides comprehensive interactive operations in each figure and table, between figures or tables in each module, and among different modules. It is freely accessible at https://omicsmining.ncpsb.org.cn/ExpressVis and does not require login. To test the performance of ExpressVis for multi-omics studies of clinical cohorts, we re-analyzed a published hepatocellular carcinoma dataset and reproduced their main findings, suggesting that ExpressVis is convenient enough to analyze multi-omics data. Based on its complete analysis processes and unique interactive operations, ExpressVis provides an easy-to-use solution for exploring multi-omics data.",35639516,PMC9252728,10.1093/nar/gkac399,6,Nucleic acids research,411011,19.16
PaintOmics 3: a web resource for the pathway analysis and visualization of multi-omics data,"The increasing availability of multi-omic platforms poses new challenges to data analysis. Joint visualization of multi-omics data is instrumental in better understanding interconnections across molecular layers and in fully utilizing the multi-omic resources available to make biological discoveries. We present here PaintOmics 3, a web-based resource for the integrated visualization of multiple omic data types onto KEGG pathway diagrams. PaintOmics 3 combines server-end capabilities for data analysis with the potential of modern web resources for data visualization, providing researchers with a powerful framework for interactive exploration of their multi-omics information. Unlike other visualization tools, PaintOmics 3 covers a comprehensive pathway analysis workflow, including automatic feature name/identifier conversion, multi-layered feature matching, pathway enrichment, network analysis, interactive heatmaps, trend charts, and more. It accepts a wide variety of omic types, including transcriptomics, proteomics and metabolomics, as well as region-based approaches such as ATAC-seq or ChIP-seq data. The tool is freely available at www.paintomics.org.",29800320,PMC6030972,10.1093/nar/gky466,81,Nucleic acids research,411011,19.16
A primer on correlation-based dimension reduction methods for multi-omics analysis,"The continuing advances of omic technologies mean that it is now more tangible to measure the numerous features collectively reflecting the molecular properties of a sample. When multiple omic methods are used, statistical and computational approaches can exploit these large, connected profiles. Multi-omics is the integration of different omic data sources from the same biological sample. In this review, we focus on correlation-based dimension reduction approaches for single omic datasets, followed by methods for pairs of omics datasets, before detailing further techniques for three or more omic datasets. We also briefly detail network methods when three or more omic datasets are available and which complement correlation-oriented tools. To aid readers new to this area, these are all linked to relevant R packages that can implement these procedures. Finally, we discuss scenarios of experimental design and present road maps that simplify the selection of appropriate analysis methods. This review will help researchers navigate emerging methods for multi-omics and integrating diverse omic datasets appropriately. This raises the opportunity of implementing population multi-omics with large sample sizes as omics technologies and our understanding improve.",37817584,,10.1098/rsif.2023.0344,0,"Journal of the Royal Society, Interface",101217269,4.293
Multimodal deep learning approaches for single-cell multi-omics data integration,"Integrating single-cell multi-omics data is a challenging task that has led to new insights into complex cellular systems. Various computational methods have been proposed to effectively integrate these rapidly accumulating datasets, including deep learning. However, despite the proven success of deep learning in integrating multi-omics data and its better performance over classical computational methods, there has been no systematic study of its application to single-cell multi-omics data integration. To fill this gap, we conducted a literature review to explore the use of multimodal deep learning techniques in single-cell multi-omics data integration, taking into account recent studies from multiple perspectives. Specifically, we first summarized different modalities found in single-cell multi-omics data. We then reviewed current deep learning techniques for processing multimodal data and categorized deep learning-based integration methods for single-cell multi-omics data according to data modality, deep learning architecture, fusion strategy, key tasks and downstream analysis. Finally, we provided insights into using these deep learning models to integrate multi-omics data and better understand single-cell biological mechanisms.",37651607,PMC10516349,10.1093/bib/bbad313,2,Briefings in bioinformatics,100912837,13.994
